"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Sep 12 22:39:28 UTC 2026","Sat Sep 12 22:39:29 UTC 2026","1318","tests.specs","test_logout","","","","test_logout_com_sucesso",""
"passed","Sat Sep 12 22:39:39 UTC 2026","Sat Sep 12 22:39:40 UTC 2026","1050","tests.specs","test_validacoes_negativas","","","","test_checkout_com_campos_obrigatorios_ausentes[---First Name is required]",""
"passed","Sat Sep 12 22:39:16 UTC 2026","Sat Sep 12 22:39:17 UTC 2026","1225","tests.specs","test_carrinhovazio","","","","test_acessar_carrinho_sem_itens",""
"passed","Sat Sep 12 22:39:33 UTC 2026","Sat Sep 12 22:39:35 UTC 2026","2314","tests.specs","test_sessao_carrinho","","","","test_contador_do_carrinho_persiste_apos_logout_e_relogin",""
"passed","Sat Sep 12 22:39:38 UTC 2026","Sat Sep 12 22:39:38 UTC 2026","775","tests.specs","test_validacoes_negativas","","","","test_login_com_dados_invalidos[locked_out_user-secret_sauce-Sorry, this user has been locked out]",""
"passed","Sat Sep 12 22:39:18 UTC 2026","Sat Sep 12 22:39:19 UTC 2026","837","tests.specs","test_checkout","","","","test_ordenar_produtos_por_preco_crescente",""
"passed","Sat Sep 12 22:39:37 UTC 2026","Sat Sep 12 22:39:37 UTC 2026","655","tests.specs","test_validacoes_negativas","","","","test_login_com_dados_invalidos[--Username is required]",""
"passed","Sat Sep 12 22:39:25 UTC 2026","Sat Sep 12 22:39:26 UTC 2026","1263","tests.specs","test_e2e_compras","","","","test_compra_com_multiplos_itens_valida_subtotal",""
"passed","Sat Sep 12 22:39:23 UTC 2026","Sat Sep 12 22:39:23 UTC 2026","184","tests.specs","test_checkout_validation","","","","test_checkout_parcial",""
"passed","Sat Sep 12 22:39:21 UTC 2026","Sat Sep 12 22:39:21 UTC 2026","84","tests.specs","test_checkout_validation","","","","test_checkout_sem_preencher_dados",""
"passed","Sat Sep 12 22:39:40 UTC 2026","Sat Sep 12 22:39:42 UTC 2026","1595","tests.specs","test_validacoes_negativas","","","","test_checkout_com_campos_obrigatorios_ausentes[Alessandro---Last Name is required]",""
"failed","Sat Sep 12 22:39:23 UTC 2026","Sat Sep 12 22:39:24 UTC 2026","879","tests.specs","test_continuity_buy","","","","test_continuar_comprando_apos_adicionar_item",""
"passed","Sat Sep 12 22:39:35 UTC 2026","Sat Sep 12 22:39:36 UTC 2026","692","tests.specs","test_validacoes_negativas","","","","test_login_com_dados_invalidos[invalid_user-invalid_password-Username and password do not match]",""
"passed","Sat Sep 12 22:39:19 UTC 2026","Sat Sep 12 22:39:20 UTC 2026","758","tests.specs","test_checkout","","","","test_ordenar_produtos_por_nome",""
"passed","Sat Sep 12 22:39:30 UTC 2026","Sat Sep 12 22:39:30 UTC 2026","822","tests.specs","test_ordenacao","","","","test_ordenar_produtos_por_preco_decrescente",""
"passed","Sat Sep 12 22:39:26 UTC 2026","Sat Sep 12 22:39:27 UTC 2026","849","tests.specs","test_login","","","","test_login_saucedemo_sucesso",""
"passed","Sat Sep 12 22:39:43 UTC 2026","Sat Sep 12 22:39:44 UTC 2026","1091","tests.specs","test_validacoes_negativas","","","","test_checkout_com_campos_obrigatorios_ausentes[Alessandro-QA--Postal Code is required]",""
"passed","Sat Sep 12 22:39:31 UTC 2026","Sat Sep 12 22:39:32 UTC 2026","1384","tests.specs","test_resetapp","","","","test_resetar_carrinho",""
